family,condition,episode,seed,difficulty,status,success,steps,retrieval_model,retrieval_selected_lesson_fraction,retrieval_selected_filler_fraction,retrieval_selected_query_fraction
InsertPeg,k0,0,630000,easy,fail,0,109,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,1,630100,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,2,630200,medium,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,3,630300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,4,630400,easy,success,1,259,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,5,630500,easy,fail,0,113,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,6,630600,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,7,630700,hard,fail,0,95,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,8,630801,easy,fail,0,187,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,9,630901,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,10,631000,medium,fail,0,103,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,11,631100,hard,fail,0,97,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,12,631200,easy,success,1,207,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,13,631300,easy,success,1,432,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,14,631400,medium,fail,0,104,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,15,631501,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,16,631600,easy,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,17,631701,easy,fail,0,100,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,18,631800,medium,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,19,631900,hard,fail,0,137,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,20,632000,easy,fail,0,1285,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,21,632101,easy,fail,0,88,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,22,632200,medium,success,1,195,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,23,632300,hard,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,24,632400,easy,fail,0,92,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,25,632500,easy,fail,0,105,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
InsertPeg,k0,26,632600,medium,ongoing,0,1300,siglip-so400m/visual-episodic-absthr,0.96875,0.0,0.03125
